"","xi_col[, 1]"
"1",0.595726703450601
"2",0.595726703450601
"3",0.595726703450601
"4",0.595726703450601
"5",0.595726703450601
"6",0.595726703450601
"7",0.595726703450601
"8",0.595726703450601
"9",0.595726703450601
"10",0.595726703450601
"11",0.595726703450601
"12",0.595726703450601
"13",0.595726703450601
"14",0.595726703450601
"15",0.595726703450601
"16",0.595726703450601
"17",0.595726703450601
"18",0.595726703450601
"19",0.595726703450601
"20",0.595726703450601
"21",0.595726703450601
"22",0.595726703450601
"23",0.595726703450601
"24",0.595726703450601
"25",0.595726703450601
"26",0.595726703450601
"27",0.595726703450601
"28",0.595726703450601
"29",0.595726703450601
"30",0.595726703450601
"31",0.595726703450601
"32",0.595726703450601
"33",0.595726703450601
"34",0.595726703450601
"35",0.595726703450601
"36",0.595726703450601
"37",0.595726703450601
"38",0.595726703450601
"39",0.595726703450601
"40",0.595726703450601
"41",0.595726703450601
"42",0.595726703450601
"43",0.595726703450601
"44",0.595726703450601
"45",0.595726703450601
"46",0.595726703450601
"47",0.595726703450601
"48",0.595726703450601
"49",0.595726703450601
"50",0.595726703450601
"51",0.595726703450601
"52",0.595726703450601
"53",0.595726703450601
"54",0.595726703450601
"55",0.595726703450601
"56",0.583038886231257
"57",0.363371417842076
"58",0.363371417842076
"59",0.531838014128003
"60",0.644241015443826
"61",0.543556237684214
"62",0.59827691089068
"63",0.574739580669928
"64",0.629040793053813
"65",0.546470075276738
"66",0.674872670296494
"67",0.565695655636985
"68",0.556168568379312
"69",0.579007385884694
"70",0.635326384301815
"71",0.549123688279248
"72",0.599994954080712
"73",0.643413589264327
"74",0.633734527204591
"75",0.633193359712365
"76",0.588427392849773
"77",0.617884701635702
"78",0.630691740819784
"79",0.690110873982755
"80",0.65562167595483
"81",0.643626843250372
"82",0.64703719207487
"83",0.669097122093086
"84",0.684820859660586
"85",0.661980997686316
"86",0.644351625686016
"87",0.642385790701471
"88",0.59958558472669
"89",0.690437909122316
"90",0.613993117798093
"91",0.709258790462905
"92",0.564330452430056
"93",0.641189666693746
"94",0.660602136703028
"95",0.629044474634175
"96",0.649319178578666
"97",0.653385083291935
"98",0.625363201739755
"99",0.693244885202236
"100",0.69829403630811
"101",0.710416203929454
"102",0.679511286699206
"103",0.70206883161294
"104",0.600994184214881
"105",0.64353780939043
"106",0.640066593358379
"107",0.598688416213829
"108",0.606649837858363
"109",0.610457638562157
"110",0.665946544976086
"111",0.653561367229787
"112",0.608957131221259
"113",0.713483990129416
"114",0.538461735579403
"115",0.602468071050562
"116",0.639149799685162
"117",0.621742391771883
"118",0.60128855096022
"119",0.702968173194842
"120",0.642518162443853
"121",0.636232801344732
"122",0.610325935602837
"123",0.619160146832623
"124",0.664543256030692
"125",0.622244482844468
"126",0.607636930810997
"127",0.640803797042133
"128",0.633936288594271
"129",0.614300602232579
"130",0.618954512272523
"131",0.642357074241326
"132",0.622423501315667
"133",0.625357519236373
"134",0.624980023910459
"135",0.571273913448747
"136",0.610354992833589
"137",0.634964196561386
"138",0.612267380566921
"139",0.623471573186602
"140",0.663973500418788
"141",0.572545845195026
"142",0.648132131269585
"143",0.624557656395207
"144",0.594310180475435
"145",0.619139364462851
"146",0.676746020648898
"147",0.647124959398993
"148",0.679845305504658
"149",0.661522175786494
"150",0.659716667354115
"151",0.662943519217345
"152",0.642349800930073
"153",0.669994995344989
"154",0.688845239329988
"155",0.618248356434428
"156",0.675700282701805
"157",0.673551954789252
"158",0.68922949001912
"159",0.675070387592931
"160",0.673359603468829
"161",0.621322457904356
"162",0.660308684295887
"163",0.655549347374361
"164",0.642293778584222
"165",0.662204416038951
"166",0.60979688789315
"167",0.660019982411909
"168",0.615009477232252
"169",0.622092754898555
"170",0.552692749402542
"171",0.642096050253217
"172",0.603626836471311
"173",0.60567947092241
"174",0.586407338350878
"175",0.574021118421481
"176",0.575345099678601
"177",0.610692245652661
"178",0.588291853858242
"179",0.543150796489862
"180",0.631928587294025
"181",0.618606947537314
"182",0.557582568671976
"183",0.597977401370457
"184",0.592730569225514
"185",0.564570944892469
"186",0.576845724600184
"187",0.556658789385006
"188",0.552140214562922
"189",0.570589235665265
"190",0.595190856196789
"191",0.626551889316491
"192",0.585131257437046
"193",0.625252777432115
"194",0.678259218004499
"195",0.56445409630162
"196",0.607783219949725
"197",0.613997444938895
"198",0.582660088213354
"199",0.689108861003214
"200",0.639518730704927
"201",0.644801798959151
"202",0.608700499588298
"203",0.703597870114187
"204",0.634846874092377
"205",0.620639986491053
"206",0.618859408901025
"207",0.676755493461445
"208",0.682505815609419
"209",0.629390144697847
"210",0.658167352884525
"211",0.656835895626164
"212",0.69095143419601
"213",0.650873182189453
"214",0.657036332810325
"215",0.769434631209585
"216",0.649331582733323
"217",0.630874324436314
"218",0.621215372483621
"219",0.564434594635897
"220",0.643476462584753
"221",0.601650754052352
"222",0.576221351815924
"223",0.653103118917265
"224",0.649641282515139
"225",0.530568676970088
"226",0.616955316873495
"227",0.613980302675175
"228",0.621699369867633
"229",0.672067523264983
"230",0.616724424047216
"231",0.693517743239288
"232",0.625869633570998
"233",0.668545353992763
"234",0.652466404968561
"235",0.602999688928992
"236",0.688329889149206
"237",0.656436213870994
"238",0.677552804842201
"239",0.6162225550405
"240",0.584425487954166
"241",0.614671761550146
"242",0.581978356845473
"243",0.599709356910038
"244",0.540914112024803
"245",0.666922078769133
"246",0.591887378702531
"247",0.638603234211491
"248",0.647937146189584
"249",0.564449092670962
"250",0.619566963313296
"251",0.542432725190876
"252",0.610023827999857
"253",0.618131236774534
"254",0.651068199270222
"255",0.503222977335736
"256",0.573052958599273
"257",0.621125126285741
"258",0.55444058283219
"259",0.607693173158503
"260",0.565567983646227
"261",0.606704209869448
"262",0.556633931511232
"263",0.569500151698766
"264",0.603891256989632
"265",0.595051272877691
"266",0.702895293506932
"267",0.618457649266584
"268",0.709553421750233
"269",0.66247423069145
"270",0.669911895739256
"271",0.684155704530198
"272",0.718152620406476
"273",0.689293671720486
"274",0.688377630504446
"275",0.675691529511249
"276",0.664886173028648
"277",0.679270658413835
"278",0.661378850602177
"279",0.694033341696793
"280",0.640560098924957
"281",0.65766750594673
"282",0.675719387658812
"283",0.656726729788231
"284",0.638376928433678
"285",0.663081383560071
"286",0.65832264603663
"287",0.6505479450986
"288",0.673015969648557
"289",0.620325638749792
"290",0.707014704336959
"291",0.685520454426621
"292",0.613000597253873
"293",0.678308423089959
"294",0.568176862712914
"295",0.683754221938648
"296",0.648594880986755
"297",0.70759815010168
"298",0.603935604146258
"299",0.684255697238941
"300",0.606347429922597
"301",0.716315391375304
"302",0.628969912484654
"303",0.653630472493237
"304",0.623402918386995
"305",0.580404073017913
"306",0.613822776721706
"307",0.570514180980501
"308",0.618260299550245
"309",0.651219070904415
"310",0.615111560479691
"311",0.656204433804717
"312",0.634439396533652
"313",0.699877388213145
"314",0.575237411478678
"315",0.608529094898335
"316",0.667984057361804
"317",0.646807269197847
"318",0.660997060512547
"319",0.711307831787691
"320",0.680685395286951
"321",0.616977926797393
"322",0.674167106622406
"323",0.679072350332074
"324",0.70864755616491
"325",0.640182022592195
"326",0.656219133877758
"327",0.63060014585563
"328",0.591614437489636
"329",0.634398878695282
"330",0.674429713348719
"331",0.654014317811445
"332",0.587220563670015
"333",0.638354663290212
"334",0.577649438665258
"335",0.612400241656331
"336",0.656302468036915
"337",0.57579103210713
"338",0.66002946088813
"339",0.629930100202464
"340",0.716370132610485
"341",0.63260271290561
"342",0.647577736785879
"343",0.666732755952107
"344",0.60181022971456
"345",0.595787485697684
"346",0.585656763594734
"347",0.583945811307201
"348",0.611284432270444
"349",0.6596229901919
"350",0.604749486859127
"351",0.703841688851815
"352",0.667971142892307
"353",0.644548796132946
"354",0.637410616493361
"355",0.667040005245382
"356",0.68463658321036
"357",0.70359123129702
"358",0.641133248874401
"359",0.672658375210099
"360",0.635088882916224
"361",0.666987815823088
"362",0.639644572953054
"363",0.688342410476742
"364",0.641560914318773
"365",0.725874005059108
"366",0.609626884812091
"367",0.598096561619593
"368",0.688577890386691
"369",0.577321579359167
"370",0.614922067651581
"371",0.665102316263261
"372",0.694233419526537
"373",0.686968876561031
"374",0.685020596912513
"375",0.637727802565227
"376",0.626822220182641
"377",0.629367829441685
"378",0.597291034237056
"379",0.633846759699228
"380",0.58322152589038
"381",0.684298442763473
"382",0.508152129736177
"383",0.640522015648437
"384",0.551070777447283
"385",0.636654570244443
"386",0.630094975005587
"387",0.617653777294294
"388",0.618823164333649
"389",0.615735393184351
"390",0.617339667862463
"391",0.635974335530484
"392",0.602578828043743
"393",0.684102121413394
"394",0.607313915183875
"395",0.646332448019841
"396",0.701357020338607
"397",0.64090891416891
"398",0.656979123233422
"399",0.643583352167269
"400",0.660762229631926
"401",0.686826286963629
"402",0.636226832156495
"403",0.665463545688472
"404",0.612605460483813
"405",0.590412969550511
"406",0.618157856957449
"407",0.524099432892485
"408",0.584681811007419
"409",0.544002007743722
"410",0.631761585609568
"411",0.585158870967682
"412",0.582044692974641
"413",0.675462579253231
"414",0.632790312534555
"415",0.618390858341652
"416",0.670732657292341
"417",0.601013684349302
"418",0.647668909950493
"419",0.517292618124251
"420",0.678219502656573
"421",0.626565553373438
"422",0.604740298725273
"423",0.620290168953535
"424",0.62430131618905
"425",0.590454977752179
"426",0.637914809454945
"427",0.622246630836198
"428",0.73697513608842
"429",0.673988717477978
"430",0.711507716430868
"431",0.606181315948257
"432",0.659809135644535
"433",0.669045085793305
