"","sigma_col[, 1]"
"271",-0.203522375588524
"272",-0.274071250882063
"273",-0.230693764502809
"274",-0.194142874149548
"275",-0.20127147772433
"276",-0.193544355640289
"277",-0.220466731362497
"278",-0.22759157692652
"279",-0.239665484795262
"280",-0.199008882807555
"281",-0.217692780107556
"282",-0.261926304862538
"283",-0.238064624604389
"284",-0.227928348616302
"285",-0.249804692960126
"286",-0.231478771689801
"287",-0.231985680258869
"288",-0.252595676097563
"289",-0.221738265235178
"290",-0.296440161086071
"291",-0.305237052075596
"292",-0.231275951031032
"293",-0.320973206870419
"294",-0.218986832030841
"295",-0.321910808999019
"296",-0.272907477516699
"297",-0.294779686604166
"298",-0.195576488019749
"299",-0.283287173818673
"300",-0.201409591095522
"301",-0.3148344534381
"302",-0.269455104567113
"303",-0.298350944570101
"304",-0.264851241198009
"305",-0.223780937717831
"306",-0.289823412543535
"307",-0.263085332938
"308",-0.300104815643687
"309",-0.273939755822145
"310",-0.228882512614129
"311",-0.281095122177777
"312",-0.251774249558608
"313",-0.30001224779317
"314",-0.185084477363536
"315",-0.209740667414231
"316",-0.314707853287825
"317",-0.225093998086293
"318",-0.246523062287433
"319",-0.291885198374419
"320",-0.274967424462882
"321",-0.205070887470192
"322",-0.26913706244088
"323",-0.257468598349679
"324",-0.254095249355789
"325",-0.230697301614423
"326",-0.251252796316128
"327",-0.276241550725665
"328",-0.213017262599091
"329",-0.299446111235199
"330",-0.292576551344558
"331",-0.285140733621978
"332",-0.202204353253769
"333",-0.319106371104103
"334",-0.246242316651477
"335",-0.295481094625761
"336",-0.308468750073343
"337",-0.221372095932403
"338",-0.307328914874072
"339",-0.250837818244219
"340",-0.333657805352062
"341",-0.276149696882376
"342",-0.247710687781934
"343",-0.272692586641011
"344",-0.232533475978639
"345",-0.273157636441723
"346",-0.248543414958049
"347",-0.258299744170538
"348",-0.266633425318026
"349",-0.296271350849395
"350",-0.206358731577466
"351",-0.319518583885707
"352",-0.264614519607222
"353",-0.223848610179439
"354",-0.213097098597998
"355",-0.232775034223086
"356",-0.237736659919768
"357",-0.263000918030959
"358",-0.198166320548002
"359",-0.250421308398068
"360",-0.225844158617588
"361",-0.23201260734038
"362",-0.220093614215979
"363",-0.286574588707992
"364",-0.2444065405904
"365",-0.325161832175166
"366",-0.264004490559463
"367",-0.216802305927857
"368",-0.303310605036182
"369",-0.197675981818183
"370",-0.214672082893579
"371",-0.25443022456382
"372",-0.295727063413431
"373",-0.247199910264622
"374",-0.269953406457882
"375",-0.262083436439983
"376",-0.247372232461566
"377",-0.282987145199662
"378",-0.261394434575173
"379",-0.271736171006111
"380",-0.268039918508629
"381",-0.373055549265002
"382",-0.205396541667867
"383",-0.343087081878663
"384",-0.196448975793229
"385",-0.293861856667286
"386",-0.257090139732236
"387",-0.276289813447313
"388",-0.244726106394069
"389",-0.262296395239232
"390",-0.228094023878783
"391",-0.248797733016953
"392",-0.239119932180624
"393",-0.295400018738323
"394",-0.179920368370635
"395",-0.200484210444232
"396",-0.278473568393884
"397",-0.242609460115273
"398",-0.228496542875938
"399",-0.229844941480405
"400",-0.239825937015824
"401",-0.30125471697388
"402",-0.250542312296065
"403",-0.286088825312387
"404",-0.275503462158007
"405",-0.262678561640298
"406",-0.299972647114425
"407",-0.260504079093891
"408",-0.286648437868115
"409",-0.230346971349411
"410",-0.314794427376711
"411",-0.265986403859658
"412",-0.280576912486723
"413",-0.343163724456794
"414",-0.289971775432943
"415",-0.263069156493329
"416",-0.31351151249778
"417",-0.222535009430357
"418",-0.310118450524223
"419",-0.184765213195373
"420",-0.361038027662928
"421",-0.255882363949261
"422",-0.284194085896771
"423",-0.256099640717616
"424",-0.286651363951245
"425",-0.229875366287498
"426",-0.274917279628575
"427",-0.222040349821572
"428",-0.293628217479499
"429",-0.21824461894994
"430",-0.286334445582989
"431",-0.182364472730562
"432",-0.250761891206981
"433",-0.252653426019208
"434",-0.194524877514213
"435",-0.22769360492031
"436",-0.243386233753036
"437",-0.217043877071039
"438",-0.275140902352492
"439",-0.267226592073365
"440",-0.286595274606766
"441",-0.269784600588347
"442",-0.246331297990593
"443",-0.256077881761661
"444",-0.236248303770778
"445",-0.247401055537403
"446",-0.278282635924733
"447",-0.152153026227028
"448",-0.249397205997371
"449",-0.250861065692475
"450",-0.251681905642105
"451",-0.247059341791184
"452",-0.296982975963655
"453",-0.264745650957231
"454",-0.234566343428787
"455",-0.284428291332577
"456",-0.237778560187547
"457",-0.300726112173625
"458",-0.210092417235277
"459",-0.295361699571453
"460",-0.220213934347915
"461",-0.2160800903616
"462",-0.221982156493756
"463",-0.258462887541954
"464",-0.171780394056927
"465",-0.222079502338471
"466",-0.22496550787462
"467",-0.261142203446269
"468",-0.192708772279446
"469",-0.285040109480203
"470",-0.1888379275155
"471",-0.226499161442955
"472",-0.230032883111128
"473",-0.160596795309726
"474",-0.288635080722461
"475",-0.203220953786832
"476",-0.190832601361753
"477",-0.274202391914666
"478",-0.22780943316397
"479",-0.239969384311719
"480",-0.198755319536811
"481",-0.233551519113902
"482",-0.240702793658447
"483",-0.328293539582232
"484",-0.232387739273138
"485",-0.283411983379541
"486",-0.175036695989759
"487",-0.291780485745777
"488",-0.242473636196116
"489",-0.231328879551803
"490",-0.248316738832541
"491",-0.248038392593867
"492",-0.270140478489259
"493",-0.243992596175537
"494",-0.328377396156744
"495",-0.260426655539035
"496",-0.261727663470615
"497",-0.233498135743827
"498",-0.281175903269361
"499",-0.211328047170329
"500",-0.257278464947673
"501",-0.213254256273264
"502",-0.272826162625228
"503",-0.21922516266247
"504",-0.279571143974618
"505",-0.252392174517772
"506",-0.228327671023037
"507",-0.262952129569651
"508",-0.24679086578213
"509",-0.296213538094084
"510",-0.306852352670291
"511",-0.293324440717536
"512",-0.3126710976486
"513",-0.306258216211834
"514",-0.340011323166381
"515",-0.290421010391776
"516",-0.318868103816812
"517",-0.367422104391206
"518",-0.278398706518189
"519",-0.269960789325489
"520",-0.294295508600896
"521",-0.230384301762675
"522",-0.315145761311025
"523",-0.259182250178724
"524",-0.29475227923552
"525",-0.29742413513414
"526",-0.290456344640214
"527",-0.230209764299977
"528",-0.35601815495903
"529",-0.274931068086098
"530",-0.231950203155477
"531",-0.285009734054748
"532",-0.277239915044006
"533",-0.254212262430573
"534",-0.32557484912002
"535",-0.189918525696299
"536",-0.398528948420528
"537",-0.326049891198374
"538",-0.251658087125714
"539",-0.331922663052326
"540",-0.316293849782793
"541",-0.349541009282421
"542",-0.31984787282002
"543",-0.316546477924096
"544",-0.261653968559596
"545",-0.290623404388487
"546",-0.260811422987259
"547",-0.289663203480071
"548",-0.230134384657959
"549",-0.313432116642167
"550",-0.331959587242223
"551",-0.32831534314998
"552",-0.322288603859594
"553",-0.322338507040234
"554",-0.213107614241182
"555",-0.272129660211935
"556",-0.313954423555138
"557",-0.259650185274712
"558",-0.283653510602803
"559",-0.300366692188775
"560",-0.262837024226599
"561",-0.265572993749865
"562",-0.284821911634871
"563",-0.319697477696282
"564",-0.288818258015389
"565",-0.260475312781559
"566",-0.327080885939574
"567",-0.306111134722969
"568",-0.259360060797736
"569",-0.354954269991674
"570",-0.239148405606231
"571",-0.305424924467107
"572",-0.220136498317247
"573",-0.295153315365622
"574",-0.319835043464044
"575",-0.306105381816743
"576",-0.342191432922161
"577",-0.265808756670782
"578",-0.333525100333407
"579",-0.255602662253963
"580",-0.325912583659706
"581",-0.261221230003626
"582",-0.324948474189518
"583",-0.345315933682235
"584",-0.308211116456402
"585",-0.321400290335323
"586",-0.345652593133581
"587",-0.282429281922499
"588",-0.260609509943559
"589",-0.298522521690734
"590",-0.346305069473955
"591",-0.274296705529718
"592",-0.307526715454684
"593",-0.32973809371455
"594",-0.293064351222484
"595",-0.268730368332616
"596",-0.322597845286956
"597",-0.259586215122198
"598",-0.33409812451641
"599",-0.296954428300371
"600",-0.276166912278124
"601",-0.271701538467584
"602",-0.295011952552014
"603",-0.288519034601348
"604",-0.294823044759179
"605",-0.30237650653943
"606",-0.275008461455212
"607",-0.23528484542843
"608",-0.305884545725546
"609",-0.266168163295885
"610",-0.325509784639764
"611",-0.287149833833074
"612",-0.257376807847463
"613",-0.269868882390608
"614",-0.293302666110877
"615",-0.303454745528842
"616",-0.272783109758504
"617",-0.298249000287286
"618",-0.337634236669252
"619",-0.343538578234302
"620",-0.274513464079294
"621",-0.30390933973674
"622",-0.374417717129513
"623",-0.267078474459843
"624",-0.311698149183307
"625",-0.241244888278383
"626",-0.286320438689802
"627",-0.283525134090488
"628",-0.247112930280728
"629",-0.355539859968772
"630",-0.236347269184574
"631",-0.28839786881164
"632",-0.280836235300505
"633",-0.286025360222883
"634",-0.331699635951106
"635",-0.270577708597165
"636",-0.270821659412597
"637",-0.34307635126407
"638",-0.289384060880612
"639",-0.316436930662424
"640",-0.307691729727182
"641",-0.277869609246898
"642",-0.31408897396025
"643",-0.273857473676004
"644",-0.307103614728938
"645",-0.269876054651751
"646",-0.331963012509085
"647",-0.232017124281867
"648",-0.252324141439693
"649",-0.184373152619964
"650",-0.257436500654729
"651",-0.181570128096046
"652",-0.276289859441767
"653",-0.251797521042815
"654",-0.277498052446952
"655",-0.182962211043771
"656",-0.263727236197579
"657",-0.262304221572397
"658",-0.300896225538469
"659",-0.161898155303788
"660",-0.303503924965599
"661",-0.241696778936062
"662",-0.276485257700493
"663",-0.280392985489163
"664",-0.313641651539961
"665",-0.257070904438791
"666",-0.281852241286238
"667",-0.313534400909046
"668",-0.300406667052631
"669",-0.25409102687773
"670",-0.31448870659312
"671",-0.30728158167559
"672",-0.339367196355474
"673",-0.329496868377777
"674",-0.313487006753724
"675",-0.276925372079138
"676",-0.27824216705284
"677",-0.266843189910245
"678",-0.255813506815146
"679",-0.282611859410597
"680",-0.237414773420074
"681",-0.271822772611366
"682",-0.297843355468813
"683",-0.248063588291028
"684",-0.272767001425851
"685",-0.28804646990226
"686",-0.320247145461293
"687",-0.278065976627596
"688",-0.259786086586563
"689",-0.270609960620546
"690",-0.299065114344226
"691",-0.250527441612059
"692",-0.243826090833092
"693",-0.264160542020612
"694",-0.264741885991406
"695",-0.25067172837021
"696",-0.292107046998596
"697",-0.205565469075775
"698",-0.233122107691091
"699",-0.256631412679425
"700",-0.236354418504623
"701",-0.226226824596264
"702",-0.235599263667157
"703",-0.290815715299671
"704",-0.249047670355314
"705",-0.213200058636504
"706",-0.243059675832956
"707",-0.239239542720126
"708",-0.315596927243113
"709",-0.259717323627925
"710",-0.251491167274456
"711",-0.286858267025957
"712",-0.264786756504656
"713",-0.355334284436858
"714",-0.292829874002414
"715",-0.308728749715963
"716",-0.293129992034789
"717",-0.313394833830526
"718",-0.271607520927502
"719",-0.240980584443514
"720",-0.273978886624592
"721",-0.303292320728914
"722",-0.232874560549207
"723",-0.274009537386921
"724",-0.249022756031909
"725",-0.239442899973715
"726",-0.274094409602231
"727",-0.249459945976223
"728",-0.250166029957556
"729",-0.33365272629162
"730",-0.233634623880229
"731",-0.30482703935851
"732",-0.305122985882156
"733",-0.304655843338794
"734",-0.288797336614704
"735",-0.29960519324796
"736",-0.31599454561121
"737",-0.310346879815639
"738",-0.337398252904581
"739",-0.278100680854016
"740",-0.321823442655906
"741",-0.317196811783656
"742",-0.300130746193272
"743",-0.252445110192464
"744",-0.330001715345046
"745",-0.329462623896106
"746",-0.331652905694716
"747",-0.323026423847528
"748",-0.258363904369359
"749",-0.299261920070637
"750",-0.290127264374264
"751",-0.266090527775705
"752",-0.327101996984837
"753",-0.206903550492864
"754",-0.28035230718096
"755",-0.279129680043084
"756",-0.236799279559953
"757",-0.316595082950492
"758",-0.214070415743761
"759",-0.31889798155908
"760",-0.230205328797197
"761",-0.296038025856633
"762",-0.282327016137536
"763",-0.306004718628196
"764",-0.264644626446024
"765",-0.252659987006518
"766",-0.22857889193633
"767",-0.257378714570732
"768",-0.249845606178119
"769",-0.242970660983209
"770",-0.223242625487925
"771",-0.236224216861868
"772",-0.238918624621569
"773",-0.26346518997109
"774",-0.230278325531196
"775",-0.297259045697089
"776",-0.241952904286562
"777",-0.298575962901776
"778",-0.276016056571094
"779",-0.228380507956351
"780",-0.227000273439495
"781",-0.192972437580155
"782",-0.210794557924764
"783",-0.296939478467192
"784",-0.222936482649482
"785",-0.219401375517425
"786",-0.23859312196966
"787",-0.264828706372121
"788",-0.226316303010535
"789",-0.236757476694342
"790",-0.263478313900173
"791",-0.261837773167593
"792",-0.266224673669061
"793",-0.211508015446169
"794",-0.259671625197367
"795",-0.250361924033735
"796",-0.182447833567746
"797",-0.263331896920751
"798",-0.223583345020549
"799",-0.252487117504751
"800",-0.212640165148533
"801",-0.240688179090779
"802",-0.245195388386898
"803",-0.198634917723292
"804",-0.201339282174822
"805",-0.186576698349765
"806",-0.244376581780018
"807",-0.21710146386454
"808",-0.25394970892399
"809",-0.182062227863805
"810",-0.302315622121427
"811",-0.233998150076234
"812",-0.252010531752812
"813",-0.204971928614231
"814",-0.252597569081124
"815",-0.234460275509282
"816",-0.244506074215752
"817",-0.274756650926253
"818",-0.236361287186252
"819",-0.220855362121956
"820",-0.306136614256394
"821",-0.213616652455617
"822",-0.251462740247705
"823",-0.209207256624595
"824",-0.250038157215111
"825",-0.308465701767046
"826",-0.25059458233385
"827",-0.301891511604415
"828",-0.302876979506935
"829",-0.24805708016122
"830",-0.257265710440578
"831",-0.225778416021321
"832",-0.258480814554856
"833",-0.262686846544652
"834",-0.256403712003719
"835",-0.263567547526795
"836",-0.27688587146731
"837",-0.324844826457868
"838",-0.214051568241411
"839",-0.240526195787814
"840",-0.30825140831889
"841",-0.210109767805429
"842",-0.244157035421028
"843",-0.240887175668745
"844",-0.329902563477981
"845",-0.238081884051184
"846",-0.260082639417535
"847",-0.299779623819995
"848",-0.22291882862968
"849",-0.31756035947378
"850",-0.178341925406885
"851",-0.289446852608751
"852",-0.300215825438819
"853",-0.195349356481758
"854",-0.304948196318511
"855",-0.288339547510577
"856",-0.23515523162614
"857",-0.284668468190612
"858",-0.184770756047724
"859",-0.268486122552984
"860",-0.223536178375737
"861",-0.208477219981093
"862",-0.231778680412837
"863",-0.179443247581546
"864",-0.29125948681862
"865",-0.28716126477953
"866",-0.288854069034714
"867",-0.22825334152344
"868",-0.324126891698007
"869",-0.225584102322877
"870",-0.365815964422506
"871",-0.264870450473091
"872",-0.289319616034302
"873",-0.316452572542088
"874",-0.3016887993064
"875",-0.300780518170011
"876",-0.260830419398619
"877",-0.256934895421021
"878",-0.272129667052018
"879",-0.27414491698144
"880",-0.285204413797674
"881",-0.294359691276923
"882",-0.241792164326774
"883",-0.366888179878567
"884",-0.321490976014607
"885",-0.246438081629451
"886",-0.357415270244652
"887",-0.269991188909222
"888",-0.270038485551003
"889",-0.314738890628109
"890",-0.228738198659521
"891",-0.258062256047566
"892",-0.245743967506787
"893",-0.264317785844213
"894",-0.294269406252549
"895",-0.265592488831173
"896",-0.239703348877152
"897",-0.306209494756183
"898",-0.312430123185897
"899",-0.352891777053974
"900",-0.320357902896636
"901",-0.339733630708982
"902",-0.297682628567951
"903",-0.279381807731679
"904",-0.293858929655429
"905",-0.290721258421177
"906",-0.327346019822418
"907",-0.246853340237659
"908",-0.336482014510827
"909",-0.254929474752822
"910",-0.329514615266805
"911",-0.324645428211979
"912",-0.2935429394849
"913",-0.297506919547163
"914",-0.304976921605094
"915",-0.274461490956016
"916",-0.312375942469043
"917",-0.291158912160612
"918",-0.216511347859933
"919",-0.23711327650512
"920",-0.263424038987372
"921",-0.256922930577028
"922",-0.288429643323456
"923",-0.191211225232817
"924",-0.280690732268739
"925",-0.27139748779452
"926",-0.273520819162863
"927",-0.295235174530922
"928",-0.300538530636146
"929",-0.267154571285121
"930",-0.235335041592764
"931",-0.22729962878216
"932",-0.326235045395042
"933",-0.289660661639476
"934",-0.261922787116633
"935",-0.233189589078191
"936",-0.244828681047406
"937",-0.309303522604449
"938",-0.282064068595562
"939",-0.323390019033281
"940",-0.32370659744227
"941",-0.262272635832237
"942",-0.256310944716246
"943",-0.355162244731181
"944",-0.309230640558644
"945",-0.248596676155553
"946",-0.345610360034354
"947",-0.261022222644872
"948",-0.310901117729039
"949",-0.282268567187251
"950",-0.273489951555463
"951",-0.325523085646101
"952",-0.261692297206178
"953",-0.328093924985814
"954",-0.314266109228165
"955",-0.282120057938714
"956",-0.282706295748104
"957",-0.314648244593714
"958",-0.289045088306177
"959",-0.262381423835105
"960",-0.292354293793671
"961",-0.290248629181211
"962",-0.277307821063564
"963",-0.326471648431125
"964",-0.245452360337666
"965",-0.308847089237693
"966",-0.229196790422971
"967",-0.285418703062585
"968",-0.236112552616602
"969",-0.268632867614482
"970",-0.200068602391639
"971",-0.295620250609702
"972",-0.243676776735236
"973",-0.249211351828008
"974",-0.262978010078047
"975",-0.271324118791279
"976",-0.297255359008117
"977",-0.309656972300898
"978",-0.249760993773926
"979",-0.230219458004099
"980",-0.252383722346149
"981",-0.25175416135507
"982",-0.244320957268542
"983",-0.252618714587402
"984",-0.217928228845356
"985",-0.169362599262773
"986",-0.308441302560345
"987",-0.23256463774503
"988",-0.294755355167071
"989",-0.210068472308272
"990",-0.198092753393405
"991",-0.201294844431919
"992",-0.231767941578482
"993",-0.236045076474021
"994",-0.332645903549772
"995",-0.222504528913476
"996",-0.276796094567852
"997",-0.237612889042661
"998",-0.277826968721286
"999",-0.251830299246708
"1000",-0.260010868604846
"1001",-0.275533243706907
"1002",-0.311763779989055
"1003",-0.239276458464079
"1004",-0.270763268250882
"1005",-0.282973514392828
"1006",-0.193766911041612
"1007",-0.279265804727984
"1008",-0.293645628905837
"1009",-0.304676371480905
"1010",-0.279369826420712
"1011",-0.316394819527257
"1012",-0.269164552073547
"1013",-0.360970997321078
"1014",-0.249048330165373
"1015",-0.281553982766448
"1016",-0.398350829024926
"1017",-0.315296359042505
"1018",-0.265816892968675
"1019",-0.325578407335621
"1020",-0.345136939585904
"1021",-0.286040407590174
"1022",-0.291997328051105
"1023",-0.307969533452562
"1024",-0.256028592035348
"1025",-0.244624296957355
"1026",-0.297099224052972
"1027",-0.25591867536787
"1028",-0.231334975257242
"1029",-0.302415094614015
"1030",-0.266111197571836
"1031",-0.24126614682291
"1032",-0.34312619937444
"1033",-0.212728258061197
"1034",-0.27236478130252
"1035",-0.259869375007768
"1036",-0.289369063673878
"1037",-0.322043766342411
"1038",-0.2297341205976
"1039",-0.273794010153799
"1040",-0.261088520849892
"1041",-0.240810083158214
"1042",-0.291013173036663
"1043",-0.271418222442028
"1044",-0.21800894356281
"1045",-0.229918867242143
"1046",-0.275696487738435
"1047",-0.196204625386911
"1048",-0.287783222165542
"1049",-0.257648801279638
"1050",-0.261932973692458
"1051",-0.288682390092178
"1052",-0.308096174309156
"1053",-0.24007201888555
"1054",-0.338451433811945
"1055",-0.331258305769216
"1056",-0.264369530609071
"1057",-0.276958595604226
"1058",-0.271706886169894
"1059",-0.258536134558593
"1060",-0.313829642969484
"1061",-0.281776754814378
"1062",-0.320132937785952
"1063",-0.247245009653135
"1064",-0.254824722165476
"1065",-0.308031116223291
"1066",-0.215889314089592
"1067",-0.29597943621799
"1068",-0.234828307988948
"1069",-0.23827203898064
"1070",-0.230486981507653
"1071",-0.287566515529326
"1072",-0.290019052009748
"1073",-0.288773923259876
"1074",-0.337094300771709
"1075",-0.261752660679819
"1076",-0.282555254826642
"1077",-0.339062406201289
"1078",-0.312660246766166
"1079",-0.270565439629113
"1080",-0.334040020850336
"1081",-0.345610277664203
"1082",-0.324339264271977
"1083",-0.292347255695549
"1084",-0.285599185125744
"1085",-0.362152251852336
"1086",-0.266032411200713
"1087",-0.259697527034191
"1088",-0.34153983685975
"1089",-0.239076304324732
"1090",-0.254259381659388
"1091",-0.301248791927296
"1092",-0.259444671754871
"1093",-0.333810238848917
"1094",-0.270123345432217
"1095",-0.248300311021745
"1096",-0.28823325280515
"1097",-0.270335723857445
"1098",-0.264320088908769
"1099",-0.275766512852247
"1100",-0.301458353769447
"1101",-0.32464585699904
"1102",-0.290750592108263
"1103",-0.241397551044559
"1104",-0.232646281360837
"1105",-0.285484491014437
"1106",-0.174079967718461
"1107",-0.247414555147753
"1108",-0.161430870031342
"1109",-0.219305717216536
"1110",-0.190516965632322
"1111",-0.180298972880932
"1112",-0.261703655830087
"1113",-0.148409720218406
"1114",-0.291364687539008
"1115",-0.230719679956886
"1116",-0.287207860182039
"1117",-0.316964720908595
"1118",-0.283148498756223
"1119",-0.269932718545562
"1120",-0.293046102960081
"1121",-0.306928637132659
"1122",-0.299919374520217
"1123",-0.317510285635481
"1124",-0.299136096941328
"1125",-0.325033812767609
"1126",-0.351619470299575
"1127",-0.290283149587543
"1128",-0.361140297660864
"1129",-0.272441065016055
"1130",-0.376684043570613
"1131",-0.318543557027698
"1132",-0.361605376274276
"1133",-0.369807887095008
"1134",-0.314220929677817
"1135",-0.286896341919583
"1136",-0.290087882281096
"1137",-0.282448623457956
"1138",-0.306723328372024
"1139",-0.293241134192631
"1140",-0.290262126232914
"1141",-0.284572614655655
"1142",-0.255453260751145
"1143",-0.263409028816372
"1144",-0.233491230659679
"1145",-0.290555890569419
"1146",-0.246359552844026
"1147",-0.301744632445995
"1148",-0.244467888705976
"1149",-0.350195577508517
"1150",-0.244717312830454
"1151",-0.226647856614784
"1152",-0.328697811872696
"1153",-0.323522901428246
"1154",-0.30452424269232
